"filePath","line","column","ruleId","severity","message","source"
"C:\Apartment-Locator-AI-Real-main\src\pages\LandingSSRSafe.tsx","3","73","@typescript-eslint/no-unused-vars","1","'Zap' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\LandingSSRSafe.tsx","3","111","@typescript-eslint/no-unused-vars","1","'Mail' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\LandingSSRSafe.tsx","3","117","@typescript-eslint/no-unused-vars","1","'Star' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\LandingSSRSafe.tsx","3","141","@typescript-eslint/no-unused-vars","1","'Calendar' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\LandingSSRSafe.tsx","188","38","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\LandingSSRSafe.tsx","260","53","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\LocationIntelligenceDemo.tsx","5","36","@typescript-eslint/no-unused-vars","1","'createHeading' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\LocationIntelligenceDemo.tsx","7","8","@typescript-eslint/no-unused-vars","1","'ModernCard' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","4","3","@typescript-eslint/no-unused-vars","1","'TrendingDown' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","6","3","@typescript-eslint/no-unused-vars","1","'DollarSign' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","11","3","@typescript-eslint/no-unused-vars","1","'MapPin' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","12","3","@typescript-eslint/no-unused-vars","1","'Calendar' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","14","3","@typescript-eslint/no-unused-vars","1","'AlertTriangle' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","16","3","@typescript-eslint/no-unused-vars","1","'Info' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","17","3","@typescript-eslint/no-unused-vars","1","'Zap' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","20","3","@typescript-eslint/no-unused-vars","1","'PieChart' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","48","34","@typescript-eslint/no-unused-vars","1","'error' is assigned a value but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntel.tsx","474","63","react/no-unescaped-entities","1","`'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntelRevamped.tsx","4","3","@typescript-eslint/no-unused-vars","1","'TrendingDown' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntelRevamped.tsx","6","3","@typescript-eslint/no-unused-vars","1","'DollarSign' is defined but never used.",""
"C:\Apartment-Locator-AI-Real-main\src\pages\MarketIntelRevamped.tsx","11","3","@typescript-eslint/no-unused-vars","1","'MapPin' is defined but never used.",""
